#"Step"	"Potential Energy (kJ/mole)"	"Density (g/mL)"	"Speed (ns/day)"
1000	-12541353.466182943	0.9942092237748988	0
2000	-12541399.968372114	0.9942092237748988	3.03
3000	-12541467.658616574	0.9942092237748988	3.05
4000	-12541486.08502552	0.9942092237748988	3.05
5000	-12541642.803372813	0.9942092237748988	3.08
6000	-12541686.085725179	0.9942092237748988	3.09
7000	-12541581.426249359	0.9942092237748988	3.09
8000	-12541626.348766647	0.9942092237748988	3.09
9000	-12541716.424706426	0.9942092237748988	3.09
10000	-12541629.943421667	0.9942092237748988	3.09
11000	-12541605.53305679	0.9942092237748988	3.09
12000	-12541634.131043062	0.9942092237748988	3.08
13000	-12541508.463772299	0.9942092237748988	3.08
14000	-12541530.88629942	0.9942092237748988	3.08
15000	-12541585.72482514	0.9942092237748988	3.08
16000	-12541509.053438656	0.9942092237748988	3.07
17000	-12541557.268200396	0.9942092237748988	3.07
18000	-12541468.144468123	0.9942092237748988	3.07
19000	-12541540.95137782	0.9942092237748988	3.07
20000	-12541622.527120568	0.9942092237748988	3.07
21000	-12541620.516653229	0.9942092237748988	3.07
22000	-12541452.040437756	0.9942092237748988	3.07
23000	-12541557.565161742	0.9942092237748988	3.07
24000	-12541539.115560777	0.9942092237748988	3.07
25000	-12541566.784569155	0.9942092237748988	3.06
26000	-12541662.650621813	0.9942092237748988	3.07
27000	-12541687.265416576	0.9942092237748988	3.08
28000	-12541713.941642668	0.9942092237748988	3.09
29000	-12541641.374039961	0.9942092237748988	3.1
30000	-12541724.837378943	0.9942092237748988	3.11
31000	-12541705.773855103	0.9942092237748988	3.1
32000	-12541738.906741103	0.9942092237748988	3.09
